GEOID,Pop per Area
210670001011,0.001668873
210670001012,0.004264797
210670001021,0.002067554
210670001022,0.002609615
210670002001,0.001615114
210670002002,0.002834664
210670002003,0.006064454
210670002004,0.00159389
210670003001,0.002389901
210670003002,0.002946726
210670003003,0.001874954
210670003004,0.0042676
210670004001,0.001469621
210670004002,0.001543871
210670005001,0.001286303
210670005002,0.002454765
210670005003,0.002410499
210670005004,0.002846322
210670006001,0.002167852
210670006002,0.001695771
210670006003,0.002326607
210670007001,0.003396915
210670007002,0.002497105
210670008011,0.004174535
210670008021,0.007571039
210670008022,0.001812753
210670009001,0.002780334
210670009002,0.00255481
210670009003,0.003815048
210670010001,0.00027256
210670010002,0.000653533
210670011001,0.001722682
210670011002,0.001000292
210670011003,0.002766278
210670011004,0.00178394
210670013001,0.000345393
210670013002,0.003966755
210670014001,0.002128073
210670014002,0.002144005
210670015001,0.002523995
210670015002,0.000701857
210670016001,0.001495153
210670016002,0.001100462
210670017001,0.001637301
210670017002,0.000538623
210670017003,0.001016066
210670018001,0.002667358
210670018002,0.00437324
210670019001,0.003557147
210670019002,0.001228014
210670020011,0.004725327
210670020012,0.001997463
210670020013,0.002073877
210670020021,0.002242628
210670020022,0.002058022
210670022001,0.002005701
210670022002,0.001372363
210670023021,0.001490078
210670023022,0.001260996
210670023023,0.002200813
210670023031,0.002494906
210670023032,0.001315952
210670023033,0.00091798
210670023034,0.001365005
210670023041,0.001176482
210670023042,0.000787058
210670024001,0.000754756
210670024002,0.001053729
210670024003,0.001422614
210670024004,0.001172622
210670025001,0.001438656
210670025002,0.001116278
210670025003,0.002891589
210670026001,0.001550271
210670026002,0.001839758
210670026003,0.002201115
210670026004,0.001297626
210670026005,0.001746096
210670027001,0.000982943
210670027002,0.001612385
210670027003,0.001740433
210670028001,0.001231884
210670028002,0.000987881
210670029001,0.00119301
210670029002,0.001183832
210670029003,0.001585247
210670030001,0.001550101
210670030002,0.001577194
210670030003,0.001340211
210670030004,0.001538079
210670030005,0.001136051
210670031011,0.001100708
210670031012,0.000876877
210670031021,0.001483641
210670031022,0.000854312
210670032011,0.001175141
210670032012,0.00061905
210670032021,0.002369484
210670032022,0.003594725
210670032023,0.001932201
210670032024,0.001323195
210670033001,0.001390494
210670033002,0.000547269
210670034021,0.002180027
210670034022,0.001853158
210670034023,0.003569104
210670034041,0.002169491
210670034042,0.001433472
210670034043,0.003046683
210670034051,0.001754881
210670034052,0.001621597
210670034053,0.003019944
210670034061,0.001676724
210670034062,0.001066134
210670034063,0.002146207
210670034071,0.001984621
210670034072,0.000728542
210670035011,0.001732717
210670035012,0.002726529
210670035031,0.003403936
210670035032,0.003134345
210670035041,0.003000012
210670035042,0.003315399
210670036001,0.000652698
210670036002,0.001023011
210670036003,0.001645937
210670037011,2.0048E-05
210670037012,7.85693E-05
210670037021,0.001652115
210670037022,0.00056271
210670037031,0.002763796
210670037032,0.000930962
210670037041,0.001215705
210670037042,0.000235279
210670037043,0.001017169
210670038021,1.27766E-05
210670038022,1.12203E-05
210670038023,2.51277E-05
210670038031,0.000118413
210670038032,0.000845359
210670038033,0.000438639
210670038041,0.003318002
210670038042,0.001123715
210670038043,0.001132678
210670039061,0.001056578
210670039062,0.001648725
210670039081,0.000519613
210670039082,0.000629523
210670039083,0.002282304
210670039091,0.001264147
210670039092,0.000446641
210670039101,0.002382791
210670039111,0.001442682
210670039112,0.002473754
210670039113,0.002844802
210670039121,0.001494034
210670039122,0.000829597
210670039131,0.001436032
210670039132,0.000497978
210670039133,0.000787338
210670039141,0.002895355
210670039142,0.001149631
210670039151,0.001647206
210670039152,0.000853047
210670039161,1.1097E-05
210670039162,0.000217551
210670039171,0.000213509
210670039172,9.09161E-06
210670039173,0
210670039181,1.45502E-05
210670039182,2.21163E-05
210670040011,0.003495157
210670040012,0.001765028
210670040013,0.001994656
210670040031,0.002939207
210670040032,0.002010626
210670040033,0.002648019
210670040051,0.000538593
210670040061,0.000367738
210670040071,1.95792E-05
210670040072,1.74128E-05
210670041031,0.000661394
210670041032,0.003062151
210670041041,0.002160031
210670041042,0.002297087
210670041043,0.002134383
210670041051,0.001945108
210670041052,0.002621599
210670041053,0.001627814
210670041061,0.00139078
210670041062,0.001917087
210670041071,0.001807322
210670041072,0.001835206
210670041073,0.001913765
210670042041,0.000516536
210670042042,0.001822397
210670042043,0.002001627
210670042051,0.001593844
210670042052,0.001767874
210670042053,0.001694279
210670042071,6.58146E-05
210670042072,0.000344838
210670042081,0.001648212
210670042082,0.000684064
210670042091,0.002118388
210670042092,0.002914584
210670042101,0.000915193
210670042102,0.002971634
