,No,Lat,Long,geometry,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,LEISER_WAC_SCALED,RETAIL_WAC_SCALED,index_right,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Population,Pop per Ar,HH_Units,Bachelor's,Median Inc,All Degree,Public Tra
209,209,-84.4223,37.9797,POINT (-84.42230000000001 37.9797),4.6228212189999995,337.86069889999993,7.152302333,0.107646832,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
246,246,-84.425,37.9688,POINT (-84.425 37.9688),2.9874341369999997,40.94282852,1.080780579,0.524014826,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
247,247,-84.425,37.9715,POINT (-84.425 37.9715),0.0,37.23922209,1.861320263,0.902458309,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
248,248,-84.425,37.9742,POINT (-84.425 37.9742),0.0,30.75088551,0.162932609,0.078997629,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
249,249,-84.425,37.977,POINT (-84.425 37.977),12.32835675,50.16294346,0.312110297,0.312110297,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
250,250,-84.425,37.9797,POINT (-84.425 37.9797),46.64004979999999,130.8991356,1.484126939,1.1803559959999999,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
251,251,-84.425,37.9824,POINT (-84.425 37.9824),61.55970436,443.08100920000004,2.9042373460000004,1.556677979,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
287,287,-84.4278,37.9688,POINT (-84.4278 37.9688),0.326710004,41.12633281,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
288,288,-84.4278,37.9715,POINT (-84.4278 37.9715),0.0,35.84177829,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
289,289,-84.4278,37.9742,POINT (-84.4278 37.9742),0.0,33.79820659,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
290,290,-84.4278,37.977,POINT (-84.4278 37.977),29.79728768,86.33993971,0.754361713,0.754361713,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
328,328,-84.4305,37.9688,POINT (-84.43049999999999 37.9688),0.0,35.91257057,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
329,329,-84.4305,37.9715,POINT (-84.43049999999999 37.9715),0.0,33.79941672,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
330,330,-84.4305,37.9742,POINT (-84.43049999999999 37.9742),0.0,33.79820659,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
331,331,-84.4305,37.977,POINT (-84.43049999999999 37.977),26.13346044,97.10892524,0.661606593,0.661606593,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
369,369,-84.4333,37.9688,POINT (-84.4333 37.9688),0.0,33.80062692,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
370,370,-84.4333,37.9715,POINT (-84.4333 37.9715),0.0,33.79941672,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
