No,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,LEISER_WAC_SCALED,RETAIL_WAC_SCALED
0,0,21.36665129,25.30910863,12.27108297
1,0.495912906,149.3721502,20.13610995,5.194552604
2,1.727273589,446.401424,33.05574113,0.115172333
3,2.847719835,802.2720173,54.10667686,0
4,2.463057736,1890.990011,46.79809699,0
5,4.074085224,4227.997652,21.93110157,0
6,37.53894192,4922.922422,0.529500486,0
7,42.68901497,3151.742703,4.461742187,1.203184101
8,26.50140252,2843.954805,16.46168326,6.143001877
9,40.73881149,4076.71676,29.09915106,201.8196612
10,51.9468413,4415.4193,21.43749845,1940.538443
11,48.74526506,4318.038247,50.27922657,1921.617989
12,40.38225437,4583.676105,45.69975724,428.334767
13,7.30472228,4026.033446,0,51.80230287
14,21.34308362,3292.370685,0,0
15,5.437637546,3177.474699,3.502517526,2.269853607
16,5.945522079,3734.738973,8.834648697,37.22933311
17,1.542703675,3905.4152,12.92768592,63.28316782
18,3.127200656,3694.068611,44.13038712,63.40538396
19,7.851973742,4926.364051,50.54980192,53.81543427
20,9.273073596,4374.097563,0,2.923453594
21,6.461532513,2105.762945,0,5.397757876
22,0,0.696653738,0,0
23,0,6.582147282,0,0
24,0,12.93006979,0,0
25,0,16.67470208,0,0
26,0,17.400345,0,0
27,0,13.27533172,0,0
28,0,10.79173358,0,0
29,0,12.7876196,0,0
30,0,12.26494474,0,0
31,0,11.5587839,0,0
32,0,10.72086104,0,0
33,0,6.909008922,0,0
34,0,2.093082223,0,0
35,0,1.01481809,0,0
36,0,8.942711939,0,0
37,0,29.39920037,0,0
38,0,36.59913547,0,0
39,0,23.82913868,0,0
40,0,7.908958976,0,0
41,0,14.16245755,25.21147926,12.22374752
42,0.061388,31.45427321,12.12317089,5.312387341
43,1.003799321,275.7317025,19.0721871,0
44,1.916224045,1434.820084,36.40825685,0
45,1.933274287,3102.240224,36.73221146,0
46,0.950699369,3335.132699,18.06328801,0
47,1.523762085,2890.468806,1.245192808,0
48,10.22621178,2011.831626,8.415826743,1.380915458
49,19.72026741,3443.165399,19.34815405,5.634362117
50,33.93543357,4760.295375,24.23959541,151.6999923
51,46.43441982,4234.423838,51.99063671,1371.470889
52,36.21613049,3697.366862,162.7192124,1466.789954
53,34.00771451,3613.575196,177.5742587,105.4077574
54,1.97213705,3061.880253,51.29834837,67.37311647
55,2.761584245,2606.518255,0,13.37301118
56,5.221255717,3062.254863,3.124253065,0
57,5.646540711,4360.796857,5.887192569,5.482031203
58,2.003913766,3939.691025,182.2487518,69.23810569
59,1.54375471,2409.635306,3168.319898,639.4779116
60,78.58064244,1674.869963,2899.371037,1348.649423
61,110.4922377,1281.696021,837.9461886,1139.177037
62,8.020765208,164.7249025,10.06350326,51.75515964
63,0,0,0,0
64,0,0.109992513,0,0
65,0,1.97745555,0,0
66,0,7.931761481,0,0
67,0,33.02184916,0,0
68,0,65.37651218,0,0
69,0,77.76712426,0,0
70,0,78.51250315,0,0
71,0,79.73106392,0,0
72,0,49.65275796,0,0
73,0,15.64642211,0,0
74,0,5.746248503,0,0
75,0,1.344840839,0,0
76,0,0.479660042,0,0
77,0,3.719902513,0,0
78,0,17.7942085,0,0
79,0,27.62687562,0,0
80,0.352338927,22.04194268,0,0
81,0.413589754,17.44873405,0,0
82,0,13.9087757,26.88347969,13.03441439
83,0,12.55258249,12.83803493,6.224501784
84,0.321028412,91.09159446,6.933739659,0.40446052
85,0.993435489,1453.260807,18.87527428,0
86,1.604926914,2522.85178,30.49361137,0
87,1.033646928,2643.05547,19.63929164,0
88,0.332874929,1398.074115,7.50328643,0
89,0.436571194,1581.025083,12.28329639,0.124734627
90,13.69872704,3272.965825,25.49560243,3.91392201
91,17.69221122,4283.608752,16.96283814,5.054917491
92,10.43237057,4220.096862,86.58748102,218.7456797
93,5.589110241,3539.993717,272.7132122,184.2242203
94,0.193018874,3029.53228,329.6354614,59.16126182
95,10.08738488,2940.801534,144.8388415,48.40572573
96,10.76265138,2828.667624,0.105685276,0.005764651
97,6.583393131,3085.967415,1.813000289,0
98,4.456376998,3501.581811,235.159809,136.6058734
99,2.282249631,3058.379899,2117.448539,493.519984
100,80.42007144,1380.202923,6526.878267,2384.659168
101,368.6982738,131.7172035,6309.146352,3996.55241
102,484.7495868,12.71788774,2055.982363,4277.412517
103,325.3467447,0,437.471894,2249.855455
104,70.16767229,0,94.34975145,485.2272931
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,57.33953838,0,0
109,0,125.6286975,0,0
110,0,174.8193967,0,0
111,0,176.9763848,0,0
112,0,174.565026,0,0
113,0,116.6549225,0,0
114,0,44.45892869,0,0
115,0,11.92533339,0,0
116,0,14.65902859,0,0
117,0,15.61102145,0,0
118,0,17.49411012,0,0
119,0,13.87175888,0,0
120,0,11.53334071,0,0
121,4.275345129,31.15096566,0,0
122,4.697399503,41.27397722,0,0
123,0,14.16411726,29.32414934,14.21776938
124,0,14.54944733,16.39147278,7.947380743
125,0,16.03831415,2.979463898,1.444588557
126,0.634018644,440.1205919,12.04635423,0
127,1.512308021,1308.609124,28.73385241,0
128,1.348123791,2094.964747,25.61435202,0
129,0.416525666,1654.096664,8.092970913,0
130,0.08810751,1192.286156,19.30833891,0.025173574
131,5.939220581,2461.640485,30.96519907,1.696920166
132,8.22166151,3331.718568,29.81246024,2.349046146
133,2.532434763,4191.577333,71.92941206,2.162254483
134,0,3894.48392,256.0946898,11.62059679
135,0,3211.727698,367.4205373,19.99447503
136,10.76265138,3047.014526,231.2550979,12.61391443
