No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
0,7.374006731,0,21.36665129,56.15717027,0.766942686,25.30910863,12.45875918,18.57697866,0.766942686,12.27108297
1,45.1389648,0.495912906,149.3721502,82.41136889,12.39187357,20.13610995,80.93717698,56.58479343,10.90413486,5.194552604
2,139.1908985,1.727273589,446.401424,96.38170943,42.03752227,33.05574113,228.3173017,61.48352238,36.85570151,0.115172333
3,247.7628064,2.847719835,802.2720173,91.44179185,73.92328051,54.10667686,410.5770448,34.48739515,70.00888553,0
4,598.4164916,2.463057736,1890.990011,121.0024988,168.5086707,46.79809699,927.6901083,71.74134411,196.3747403,0
5,1287.441015,4.074085224,4227.997652,142.7821515,366.7447193,21.93110157,2133.504583,116.7769647,440.3073346,0
6,1470.866484,37.53894192,4922.922422,148.0343966,409.9797085,0.529500486,2543.522905,109.9659542,498.5533245,0
7,979.4119043,42.68901497,3151.742703,109.9761697,274.3575201,4.461742187,1602.84405,61.62222839,295.1292282,1.203184101
8,927.64015,26.50140252,2843.954805,73.92725836,229.4390041,16.46168326,1436.429404,24.8211707,250.4462471,6.143001877
9,1325.408308,40.73881149,4076.71676,321.3957574,337.7934814,29.09915106,2070.738471,49.73813371,342.7764993,201.8196612
10,1435.050912,51.9468413,4415.4193,2187.614083,348.4863139,21.43749845,2258.900962,173.6913005,372.9811132,1940.538443
11,1332.31763,48.74526506,4318.038247,2282.416266,342.9266433,50.27922657,2241.3719,261.7737856,401.4220731,1921.617989
12,1353.436667,40.38225437,4583.676105,687.6406279,399.5750033,45.69975724,2349.99926,173.2238492,480.6651745,428.334767
13,1201.794699,7.30472228,4026.033446,124.9949689,365.5486919,0,2020.705552,65.88794374,437.984503,51.80230287
14,991.3898148,21.34308362,3292.370685,85.35320644,333.2005619,0,1615.793732,64.01012282,351.9865767,0
15,967.1028077,5.437637546,3177.474699,66.6046919,345.962047,3.502517526,1540.408509,55.39468322,324.0013358,2.269853607
16,1185.564331,5.945522079,3734.738973,148.5298752,385.6990805,8.834648697,1803.189399,96.52037128,360.2861624,37.22933311
17,1254.815199,1.542703675,3905.4152,183.7968926,381.5735701,12.92768592,1887.725084,106.0433352,381.3013465,63.28316782
18,1104.975243,3.127200656,3694.068611,178.858914,409.7175727,44.13038712,1726.728141,68.19594228,452.6476538,63.40538396
19,1337.134511,7.851973742,4926.364051,163.6719702,602.249292,50.54980192,2298.760068,51.45476023,688.2201802,53.81543427
20,1151.778326,9.273073596,4374.097563,14.75454909,548.0119843,0,2086.425072,2.558021895,587.8821812,2.923453594
21,550.8968591,6.461532513,2105.762945,16.58232853,287.5518024,0,1027.535649,4.723038142,239.7786339,5.397757876
22,0.348326869,0,0.696653738,0,0,0,0.348326869,0,0,0
23,3.291073641,0,6.582147282,0,0,0,3.291073641,0,0,0
24,6.465034894,0,12.93006979,0,0,0,6.465034894,0,0,0
25,7.946264595,0,16.67470208,34.30386802,0.111738984,0,8.616698498,34.30386802,0,0
26,6.164905011,0,17.400345,158.3566985,0.684257856,0,10.10201416,158.3566985,0.449167977,0
27,2.956283707,0,13.27533172,279.4780891,1.024617435,0,8.989722965,279.4780891,0.304707609,0
28,1.962635942,0,10.79173358,299.5674578,0.979935919,0,7.838105303,299.5674578,0.011056412,0
29,2.343704102,0,12.7876196,296.6682643,1.120475573,0,8.912428103,296.6682643,0.411011826,0
30,2.24391587,0,12.26494474,297.4132648,1.083661664,0,8.630997039,297.4132648,0.306370172,0
31,2.109095566,0,11.5587839,298.4237576,1.033926927,0,8.250794556,298.4237576,0.164966852,0
32,1.949247463,0,10.72086104,299.2094855,0.974623731,0,7.79698985,299.2094855,0,0
33,1.25618344,0,6.909008922,192.8241581,0.62809172,0,5.024733761,192.8241581,0,0
34,0.380560404,0,2.093082223,58.41602204,0.190280202,0,1.522241617,58.41602204,0,0
35,0,0,1.01481809,0,0,0,0.761113567,0,0.253704522,0
36,0,0,8.942711939,0,0,0,6.707033954,0,2.235677985,0
37,0.002556317,0,29.39920037,27.74671268,0.000958619,0,26.20883488,27.74671268,3.186850548,0
38,0.844243225,0,36.59913547,46.88293,0,0,34.16519989,46.88293,1.589692352,0
39,2.129452519,0,23.82913868,30.84251231,0,0,21.69968616,30.84251231,0,0
40,2.855372468,0,7.908958976,134.5250336,0.058120939,0,4.966405099,134.5250336,0.02906047,0
